# Tabla de verdad
# Generado a partir de un circuito Binary_to_Two_Seven_Segment
# Exportado en Sat Apr 03 10:44:00 COT 2021

# Consejos y notas sobre el formato:
# * Puede editar este archivo y luego importarlo de nuevo a Logisim!
# * Cualquier cosa después de un '#' es un comentario y será ignorado.
# * Las líneas en blanco y las líneas de separación (por ejemplo, ~~~~~~~) se ignoran.
%a * Mantener nombres de columnas simples (sin espacios, puntuación, etc.)
# * 'Nombre[N..0]' indica una variable de 1 bit N, mientras que
# 'Nombre' por sí mismo indica una variable de 1 bit.
Puedes usar'x' o'-' para indicar "no me importa" para ambos.
# bits de entrada y salida.
Puede utilizar la notación binaria (por ejemplo,'10100011xxxxxx') o
y o hexadecimal (por ejemplo, 'C3x'). Logisim averiguará cuál es cuál.

entrance[7..0] | aa bb cc dd ee ff gg a b c d e f g
   01111111    | 1  0  0  0  1  1  1  1 1 1 0 0 0 0
   10000000    | 1  1  1  1  1  1  0  1 1 1 1 1 1 1
   10000001    | 0  1  1  0  0  0  0  1 1 1 1 1 1 1
   10000010    | 1  1  0  1  1  0  1  1 1 1 1 1 1 1
   10000011    | 1  1  1  1  0  0  1  1 1 1 1 1 1 1
   10000100    | 0  1  1  0  0  1  1  1 1 1 1 1 1 1
   10000101    | 1  0  1  1  0  1  1  1 1 1 1 1 1 1
   10000110    | 1  0  1  1  1  1  1  1 1 1 1 1 1 1
   10000111    | 1  1  1  0  0  0  0  1 1 1 1 1 1 1
   10001000    | 1  1  1  1  1  1  1  1 1 1 1 1 1 1
   10001001    | 1  1  1  0  0  1  1  1 1 1 1 1 1 1
   10001010    | 1  1  1  0  1  1  1  1 1 1 1 1 1 1
   10001011    | 0  0  1  1  1  1  1  1 1 1 1 1 1 1
   10001100    | 1  0  0  1  1  1  0  1 1 1 1 1 1 1
   10001101    | 0  1  1  1  1  0  1  1 1 1 1 1 1 1
   10001110    | 1  0  0  1  1  1  1  1 1 1 1 1 1 1
   10001111    | 1  0  0  0  1  1  1  1 1 1 1 1 1 1
   10010000    | 1  1  1  1  1  1  0  1 1 1 0 0 1 1
   10010001    | 0  1  1  0  0  0  0  1 1 1 0 0 1 1
   10010010    | 1  1  0  1  1  0  1  1 1 1 0 0 1 1
   10010011    | 1  1  1  1  0  0  1  1 1 1 0 0 1 1
   10010100    | 0  1  1  0  0  1  1  1 1 1 0 0 1 1
   10010101    | 1  0  1  1  0  1  1  1 1 1 0 0 1 1
   10010110    | 1  0  1  1  1  1  1  1 1 1 0 0 1 1
   10010111    | 1  1  1  0  0  0  0  1 1 1 0 0 1 1
   10011000    | 1  1  1  1  1  1  1  1 1 1 0 0 1 1
   10011001    | 1  1  1  0  0  1  1  1 1 1 0 0 1 1
   10011010    | 1  1  1  0  1  1  1  1 1 1 0 0 1 1
   10011011    | 0  0  1  1  1  1  1  1 1 1 0 0 1 1
   10011100    | 1  0  0  1  1  1  0  1 1 1 0 0 1 1
   10011101    | 0  1  1  1  1  0  1  1 1 1 0 0 1 1
   10011110    | 1  0  0  1  1  1  1  1 1 1 0 0 1 1
   10011111    | 1  0  0  0  1  1  1  1 1 1 0 0 1 1
   10100000    | 1  1  1  1  1  1  0  1 1 1 0 1 1 1
   10100001    | 0  1  1  0  0  0  0  1 1 1 0 1 1 1
   10100010    | 1  1  0  1  1  0  1  1 1 1 0 1 1 1
   10100011    | 1  1  1  1  0  0  1  1 1 1 0 1 1 1
   10100100    | 0  1  1  0  0  1  1  1 1 1 0 1 1 1
   10100101    | 1  0  1  1  0  1  1  1 1 1 0 1 1 1
   10100110    | 1  0  1  1  1  1  1  1 1 1 0 1 1 1
   10100111    | 1  1  1  0  0  0  0  1 1 1 0 1 1 1
   10101000    | 1  1  1  1  1  1  1  1 1 1 0 1 1 1
   10101001    | 1  1  1  0  0  1  1  1 1 1 0 1 1 1
   10101010    | 1  1  1  0  1  1  1  1 1 1 0 1 1 1
   10101011    | 0  0  1  1  1  1  1  1 1 1 0 1 1 1
   10101100    | 1  0  0  1  1  1  0  1 1 1 0 1 1 1
   10101101    | 0  1  1  1  1  0  1  1 1 1 0 1 1 1
   10101110    | 1  0  0  1  1  1  1  1 1 1 0 1 1 1
   10101111    | 1  0  0  0  1  1  1  1 1 1 0 1 1 1
   10110000    | 1  1  1  1  1  1  0  0 0 1 1 1 1 1
   10110001    | 0  1  1  0  0  0  0  0 0 1 1 1 1 1
   10110010    | 1  1  0  1  1  0  1  0 0 1 1 1 1 1
   10110011    | 1  1  1  1  0  0  1  0 0 1 1 1 1 1
   10110100    | 0  1  1  0  0  1  1  0 0 1 1 1 1 1
   10110101    | 1  0  1  1  0  1  1  0 0 1 1 1 1 1
   10110110    | 1  0  1  1  1  1  1  0 0 1 1 1 1 1
   10110111    | 1  1  1  0  0  0  0  0 0 1 1 1 1 1
